1,Factual Places
2,Automotive
3,Car Appraisers
4,Car Dealers and Leasing
5,Used Cars
6,Car Parts and Accessories
7,Car Wash and Detail
8,Classic and Antique Car
9,Maintenance and Repair
10,Oil and Lube
11,Smog Check
12,Tires
13,Transmissions
14,Motorcycles, Mopeds and Scooters
15,Repair
16,Sales
17,RVs and Motor Homes
18,Salvage Yards
19,Towing
20,Community and Government
21,Animal Shelters and Humane Societies
22,Cemeteries
23,Day Care and Preschools
24,Disabled Persons Services
25,Drug and Alcohol Services
26,Education
27,Adult Education
28,Art Lessons and Schools
29,Colleges and Universities
30,Computer Training
31,Culinary Lessons and Schools
32,Driving Schools
33,Fraternities and Sororities
34,Primary and Secondary Schools
35,Tutoring and Educational Services
36,Vocational Schools
37,Government Departments and Agencies
38,Government Lobbyists
39,Housing Assistance and Shelters
40,Law Enforcement and Public Safety
41,Rescue Services
42,Fire Stations
43,Police Stations
44,Libraries
45,Military
46,Bases
47,Organizations and Associations
48,Charities and Non-Profits
49,Environmental
50,Youth Organizations
51,Post Offices
52,Public and Social Services
53,Religious
54,Buddhist Temples
55,Churches
56,Hindu Temples
57,Mosques
58,Synagogues
59,Senior Citizen Services
60,Retirement
61,Utility Companies
62,Healthcare
63,AIDS Resources
64,Assisted Living Services
65,Caretakers
66,Facilities and Nursing Homes
67,Blood Banks and Centers
68,Chiropractors
69,Dentists
70,Emergency Services
71,Ambulance
72,Holistic, Alternative and Naturopathic Medicine
73,Acupuncture
74,Hospitals, Clinics and Medical Centers
75,Medical Supplies and Labs
76,Mental Health
77,Counseling and Therapy
78,Psychologists
79,Nurses
80,Pharmacies
81,Physical Therapy and Rehabilitation
82,Sports Medicine
83,Physicians
84,Anesthesiologists
85,Cardiologists
86,Dermatologists
87,Ear, Nose and Throat
88,Family Medicine
89,Gastroenterologists
90,General Surgery
91,Internal Medicine
92,Neurologists
93,Obstetricians and Gynecologists
94,Oncologists
95,Ophthalmologists
96,Orthopedic Surgeons
97,Pathologists
98,Pediatricians
99,Plastic Surgeons
100,Psychiatrists
101,Radiologists
102,Respiratory
103,Urologists
104,Podiatrists
105,Pregnancy and Sexual Health
106,Weight Loss and Nutritionists
107,Landmarks
108,Buildings and Structures
109,Gardens
110,Historic and Protected Sites
111,Monuments and Memorials
112,Natural
113,Beaches
114,Mountains
115,Forests
116,Lakes
117,Rivers
118,Parks
119,Natural Parks
120,Picnic Areas
121,Playgrounds
122,Urban Parks
123,Retail
124,Adult
125,Antiques
126,Arts and Crafts
127,Auctions
128,Beauty Products
129,Bicycles
130,Bookstores
131,Cards and Stationery
132,Children
133,Computers and Electronics
134,Cameras
135,Mobile Phones
136,Video Games
137,Construction Supplies
138,Convenience Stores
139,Costumes
140,Dance and Music
141,Department Stores, Discount Stores
142,Fashion
143,Clothing and Accessories
144,Jewelry and Watches
145,Shoes
146,Swimwear
147,Flea Markets
148,Florists
149,Food and Beverage
150,Beer, Wine and Spirits
151,Candy Stores
152,Cheese
153,Chocolate
154,Farmers' Markets
155,Health and Diet Food
156,Kosher
157,Furniture and Home Decor
158,Gift and Novelty
159,Glasses and Optometrist
160,Hobby and Collectibles
161,Luggage
162,Music, Video and DVD
163,Newsstands
164,Nurseries and Garden Centers
165,Outlet
166,Pawn Shops
167,Pets
168,Photos and Frames
169,Shopping Centers and Malls
170,Sporting Goods
171,Supermarkets and Groceries
172,Tobacco
173,Toys
174,Vintage and Thrift
175,Warehouses and Wholesale Stores
176,Wedding and Bridal
177,Services and Supplies
178,Business and Strategy Consulting
179,Industrial Machinery and Vehicles
180,Logging and Sawmills
181,Metals
182,Packaging
183,Petroleum
184,Plastics
185,Refrigeration and Ice
186,Rubber
187,Scientific
188,Security and Safety
189,Telecommunication Services
190,Textiles
191,Water and Waste Management
192,Welding
193,Advertising and Marketing
194,Advertising Agencies and Media Buyers
195,Creative Services
196,Direct Mail and Email Marketing Services
197,Market Research and Consulting
198,Online Advertising
199,Print, TV, Radio and Outdoor Advertising
200,Promotional Items
201,Public Relations
202,Search Engine Marketing and Optimization
203,Writing, Copywriting and Technical Writing
204,Agriculture and Forestry
205,Art Restoration
206,Audiovisual
207,Automation and Control Systems
208,Chemicals and Gasses
209,Computers
210,Corporate HQ
211,Electrical Equipment
212,Employment Agencies
213,Engineering
214,Entertainment
215,Media
216,Equipment Rental
217,Events and Event Planning
218,ATMs
219,Financial
220,Accounting and Bookkeeping
221,Banking and Finance
222,Business Brokers and Franchises
223,Check Cashing
224,Collections
225,Financial Planning and Investments
226,Fund Raising
227,Loans and Mortgages
228,Stock Brokers
229,Student Aid and Grants
230,Food and Beverage
231,Catering
232,Distribution
233,Funeral Services
234,Geological
235,Home Improvement
236,Architects
237,Carpenters
238,Carpet and Flooring
239,Contractors
240,Bathrooms
241,Deck and Patio
242,Sewer
243,Doors and Windows
244,Electricians
245,Fences, Fireplaces and Garage Doors
246,Hardware and Services
247,Heating, Ventilating and Air Conditioning
248,Home Appliances
249,Home Inspection Services
250,Housewares
251,Interior Design
252,Kitchens
253,Landscaping and Gardeners
254,Lighting Fixtures
255,Mobile Homes
256,Movers
257,Painting
258,Pest Control
259,Plumbing
260,Pools and Spas
261,Roofers
262,Storage
263,Swimming Pool Maintenance and Services
264,Tree Service
265,Upholstery
266,Human Resources
267,Import and Export
268,Leather
269,Legal
270,Credit Counseling and Bankruptcy Services
271,Immigration
272,Insurance
273,Machine Shops
274,Management
275,Manufacturing
276,Paper
277,Personal Care
278,Dry Cleaning, Ironing and Laundry
279,Hair Removal
280,Hair Salons and Barbers
281,Manicures and Pedicures
282,Massage Clinics and Therapists
283,Piercing
284,Skin Care
285,Spas
286,Tanning Salons
287,Tattooing
288,Printing, Copying and Signage
289,Professional Cleaning
290,Publishing
291,Real Estate
292,Property Management
293,Real Estate Agents
294,Real Estate Appraiser
295,Real Estate Development and Title Companies
296,Apartments, Condos, and Houses
297,Boarding Houses
298,Building and Land Surveyors
299,Commercial Real Estate
300,Corporate Housing
301,Renewable Energy
302,Repair Services
303,Shipping, Freight, and Material Transportation
304,Tailors
305,Veterinarians
306,Web Design and Development
307,Wholesale
308,Social
309,Arts
310,Art Dealers and Galleries
311,Museums
312,Bars
313,Hotel Lounges
314,Jazz and Blues Cafes
315,Sports Bars
316,Wine Bars
317,Entertainment
318,Adult
319,Arcades and Amusement Parks
320,Billiard and Pool
321,Bingo
322,Bowling
323,Carnivals
324,Casinos and Gaming
325,Circuses
326,Dance Halls and Saloons
327,Fairgrounds and Rodeos
328,Go Carts
329,Hookah Lounges
330,Karaoke
331,Miniature Golf
332,Movie Theatres
333,Music and Show Venues
334,Night Clubs
335,Party Centers
336,Psychics and Astrologers
337,Ticket Sales
338,Food and Dining
339,Bagels and Donuts
340,Bakeries
341,Breweries
342,Cafes, Coffee and Tea Houses
343,Dessert
344,Ice Cream Parlors
345,Internet Cafes
346,Juice Bars and Smoothies
347,Restaurants
348,American
349,Barbecue
350,Buffets
351,Burgers
352,Chinese
353,Delis
354,Diners
355,Fast Food
356,French
357,Indian
358,Italian
359,Japanese
360,Korean
361,Mexican
362,Middle Eastern
363,Pizza
364,Seafood
365,Steakhouses
366,Sushi
367,Thai
368,Vegan and Vegetarian
369,Social Clubs
370,Wineries and Vineyards
371,Zoos, Aquariums and Wildlife Sanctuaries
372,Sports and Recreation
373,Athletic Fields
374,Baseball
375,Batting Ranges
376,Basketball
377,Combat Sports
378,Cycling
379,Dance
380,Equestrian
381,Football
382,Golf
383,Gun Ranges
384,Gymnastics
385,Gyms and Fitness Centers
386,Hockey
387,Outdoors
388,Campgrounds and RV Parks
389,Hiking
390,Hot Air Balloons
391,Hunting and Fishing
392,Rock Climbing
393,Skydiving
394,Paintball
395,Personal Trainers
396,Race Tracks
397,Racquet Sports
398,Racquetball
399,Tennis
400,Recreation Centers
401,Running
402,Skating
403,Snow Sports
404,Soccer
405,Sports Clubs
406,Stadiums and Arenas
407,Swimming Pools
408,Water Sports
409,Boating
410,Canoes and Kayaks
411,Rafting
412,Scuba Diving
413,Swimming
414,Yoga and Pilates
415,Transportation
416,Airlines and Aviation Services
417,Gas Stations
418,Parking
419,Public Transportation Services
420,Taxi and Car Services
421,Car and Truck Rentals
422,Charter Buses
423,Limos and Chauffeurs
424,Transport Hubs
425,Airports
426,Bus Stations
427,Heliports
428,Ports
429,Rail Stations
430,Travel
431,Cruises
432,Lodging
433,Bed and Breakfasts
434,Cottages and Cabins
435,Hostels
436,Hotels and Motels
437,Lodges and Vacation Rentals
438,Resorts
439,Tourist Information and Services
440,Travel Agents and Tour Operators
